Company,Website,Technology,Country,Founded,Description
Accelercom,accelercomm.com,RF,UK,2016,5G physical layer for high-performance networks
Agile Analog,agileanalog.com,EDA,UK,2017,Automating design of analog circuitry
Agita Labs,agitalabs.com,SECURITY,US,2018,Processing security technology/IP
Agnit Semiconductor,agnitsemi.com,MFG,IN,2019,GaN based wafers and devices
Ahead Computing,aheadcomputing.com,RISC-V,US,2024,High performance RISC-V core IP
Aistorm,aistorm.ai,AI,US,2011,Charge domain based AI processing
Akeana,akeana.com,RISC-V,US,2021,RISC-V CPU and System IP
Akhetonics,akhetonics.com,PHOTONICS,DE,2021,Optical computing devices
Alif Semiconductor,alifsemi.com,AI,US,2019,Integrated SoC for AI at the edge
Allspice.io,allspice.io,EDA,US,2018,PCB Design platform
Alpha Design AI,alphadesign.ai,EDA,US,2024,AI agent based chip design platform
Ambient Scientific,ambientscientific.ai,ANALOG,US,2018,Analog in-memory AI processor
Ampere Computing,amperecomputing.com,HPC,US,2017,Cloud native manycore CPUs
Anabrid,anabrid.com,ANALOG,DE,2023,Analog computer on a chip
Analog Photonics,analogphotonics.com,PHOTONICS,US,2012,LIDAR and other optical technologies
Andapt,andapt.com,ANALOG,IE,2014,Programmable power management ICs
Anello,anellophotonics.com,PHOTONICS,US,2018,Photonic based gyroscopes for navigation
Aniah,aniah.fr,EDA,FR,2019,Circuit analysis software
Applied Brain Research,appliedbrainresearch.com,AI,CA,2013,AI solutions for edge devices
Argus Space,argus-space.ch,RF,CH,2024,Satcomm telecommunications and radar
Aspinity,aspinity.com,AI,US,2015,Analog in-memory AI inference accelerators
Astrus,astrus.ai,EDA,CA,2022,AI platform designed to automate microchip design
Atlantic Quantum,atlantic-quantum.com,QUANTUM,US,2022,Scalable quantum computers
Atmosic,atmosic.com,RF,US,2016,Battery free wireless devices
Avicena,avicena.tech,PHOTONICS,US,2019,Optical uLed interconnect technology
Axelera,axelera.ai,AI,NL,2021,Low power AI edge processors
Ayar Labs,ayarlabs.com,PHOTONICS,US,2015,Electronic-photonic communication chipsets
Azimuth AI,Azimuth-ai.com,ASIC,US,2023,Edge AI ASICs
Baya Systems,bayasystems.com,CHIPLETS,US,2023,Chiplet Based Semiconductor Design
Beacon Photonics,beaconphotonics,PHOTONICS,US,2023,Integrated photonics platform
Beam,beamshaping.io,RF,IL,2015,Phased array antennas
Black Semiconductor,blacksemiconductor.de,MFG,DE,2021,Graphene electronics/photonics translators
Blue Cheetah,bcanalog.com,CHIPLETS,US,2018,Customizable die-to-die interconnect solutions
Blueshift Memory,blueshiftmemory.com,MEMORY,UK,2016,High performance memory centric architecture
Bluespec,bluespec.com,RISC-V,US,2003,RISC-V IP and System Development Tools
Blumind,blumind.ai,AI,CA,2020,Analog AI computing
